Review Text,Review,Recommends,Review Length,Review Type
ordered pizza and they were unable to serve then ordered set menu and then they took more than one hour to serve that setmenu.. and food quatity was so poor. please develop these quAlities.customers will surely come to enjoy. but my and my friends experience is so pathetic.as I proposed them to go there so it was my concern.so pathetic. 😑,,FALSE,343,Negative
"I went there for a family dinner . Had the set menu with BBQ chicken and naan, and believe me when I tell you I was utterly disgusted to my core as I've never had BBQ chicken or rather any food in any restaurant that bad. The chicken was bland as hell, tasted like a boiled piece of rubber and almost smelled bad . I don't know if they were having a bad day or something, but the most painful thing was it took them more than 1:30 hours to serve that 'Horror in a plate' .My parents had other set menu items which also included BBQ chicken that tasted almost as bad as mine. Though the staff behavior was good it doesn't make up for the bad food and the long wait. I don't know if my experience was an accident on their part or not but it sure was horrific .",1,,758,Negative
Today I was parcel 4 crispy chicken fried. I reached my house & some little bit while I am started eat and it is very bad smell & couldn't not possible to eat......another many times same case of other item....sometimes it is really to bad,1,,239,Negative
The worst food I ever experienced.. Soup was like steamed water ... And set menu rice chicken are taste less chicken contained heavy food colour.. Which can cause cancer..,1,,171,Negative
very bad service... just tym & tk waste. behaviour very bad.. decoration very bad.... should close it or improve quality,1,,120,Negative
Worst possible service!! They are super rude and didn't give food on time for iftar.,1,,84,Negative
cream of cheese pasta 2/10 fusilli pasta 6/10 Beef Arabian pasta 2/10,1,,69,Negative
"Service Was Good. Restaurant Is So Nice, Near By Lal Khella. Waiter are Well Behaved. But Food Isn't So Good.",2,,109,Negative
Offer price B.B.Q pizza =500tk 2ta pasta =260+260=520tk(1ta free) atto faltu Khabar ami & amr frnds ra life a khai nai.1020tk purai panity gase�� test:0/10 service :2/10...,1,,176,Negative
nothing was good.,1,,17,Negative
Waste of money...,1,,17,Negative
kono rules nai... khabar o tasty na �� khub e faltu.,2,,56,Negative
food quality totally nonsense. Price is ridiculously sky high.don't go there.vooter bari and pizza king much better,1,,115,Negative
It used to be one of my favorite places for food but my last three visits were absolute disappointment. The chickens were so dry and tasteless. My favorite charbroiled chicken totally lost its texture and top of that they reduced the size of the chicken pieces. Hope the management take these issues seriously.,1,,310,Negative
"Quality and test of food is not great, also food is not well coordinated so you have to ended up paying high for a family dinner. Also they are not transparent when put advertisement as last week they put advert that there will be buy one get one free but didn’t mention time frame so when I reach they told that time is over.",1,,328,Negative
"Used to love the food, but recently they have deteriorated very badly. The chicken seem pre-cooked and reheated, and the flavours are not as vibrant. Portions have decreased, too, so I go to Namdo's downstairs instead.",1,,218,Negative
#negative review Place :Cafe bbq / bbq bd gulshan 2 Food : 6/10 Drinks :2/10 Service 2/10... Gelam ek friend er sathe khaite. 2 joner e pet motamuti vora cilo bole nilam share platter namer item ta jar price 1000 Platter includes all these and 2 drinks according to description. Pic dawa platter tar ar 2 ta fancy drink er. Order korar sathe sathe amak jigesh korlo sir drink ki niben. Bollam ki option ase? Bollo blue mojito na ki jani Ekta aro 2 -3 ta bollo and green apple er Ekta. Ami bollam apnader jei 2 ta iccha den eigula moddhe. Bollo sir blue ta e green apple ta ani? Bollam anen. Sudhu platter ta ar ei 2 ta drink amader dilo. Bolai vaguely platter ta sufficient na 2 joner jonno ar drink gila as usual fancy namer sprite. Minimum kono variety nai. Bill dawar somoy dekhlam total jeolhan 1150 howar kotha.ami deke Ekjon o bollam drinks to included she bollo sir taito asole sorry vul maybe.pore arekjon eshe bollo na sir vul nai.ami bollam drinks to included na? Bola holo na sir drinks bolte sudhu sprite included Baki 2 ta paid. Apnak sprite ta ene dibo sir? Amak er age sprite ta dawa o hoinai bola o hoinai er kotha. Misleading information er jonno amar 2 ta rong be rong er sprite nite. Ami bolsi vai ami bill o dea disi ekhn sprite dea ki korbo? Amar kotha na sune tao ene dise.ami jigesh korlam amak clearly bola hoinai keno bolle hasi dilo sudhu Ekta. Ami kotha barai nai but barpari type misleading info dawa amar thik lage nai.,1,,1448,Negative
Ordered Jamaican chicken with rice...it was a buy one get one offer...rise was tasteless....chicken was dry inside...disappointed...,1,,132,Negative
Worst chicken I've ever had ! decoration is up to the mark and that's why people intend to go there.. but the taste of food is not up to the standard! and also the price is so high according to the quality of the food!,1,,218,Negative
"Well decorated, good service but bad food. It could be lot better. It is not worthy with price they have taken.",2,,111,Negative
Worst service i got !! Waiting for 1 hour for the food !!!,1,,58,Negative
Worst service ever. I had the worst pizza ever and their price is more than too much.�,1,,88,Negative
No flavor in the overtly expensive chicken. Better to go to the much cheaper kfc or a local chicken joint,1,,105,Negative
They serve very small quantities in Uttara branch. They serve 5 time smaller than their Advertisement pic.,2,,106,Negative
The food was very bad nd quality nd quantity was very less.,1,,59,Negative
Didn't like any of their food at all. Menu full of pages but very little on quality. Don't think would go back again.,1,,117,Negative
"দার�ন খাবার, তবে ন�ন টা বড�ডো কম ছিলো !!",1,,95,Negative
Verynice hengout Very alright food and service Spectacular IshMin,2,,65,Negative
tader chicken item onk tasty but problem holo amak inbox a bolar por din e amra 13jon giyechilm. kintu tara bollo offer ti naki 2din agei meyad sesh.aita khub e dissatisfaction chilo.ora nijerai surena oder offer er time niye .otherwise shob okay chilo.,2,,253,Negative
Worst food ever in my life...eat at your own risk ..,1,,52,Negative
Worst experience ever!!! I would request everyone not to waste money on such places.,1,,84,Negative
On of the worst food i tried in my life. Total waste of money.,1,,62,Negative
Not better in posh location. Employees need more training with smile,2,,68,Negative
Very poor service and the soup was far too creamy.��,2,,56,Negative
��,1,,6,Negative
>:(,1,,3,Negative
I found food quality has dropped in last 2 visits.,2,,50,Negative
Tasteless food and worst service ever�,1,,40,Negative
"Grill was cold, bread was dry and hard, stock was stale... very poor quality food... disappointed...",1,,100,Negative
Worst food in respect of taste and price I have ever tried in any restaurant.,1,,77,Negative
Went there two days after the Eid-ul-Azha. The food was not good at all. Specially the rice items were terrible. Their serving was very poor too. Overall - very poor service & food.,1,,181,Negative
Taste of pizza was too bad............................��,1,,60,Negative
Amount of food was very less in context of price. Food quality was average. They have wifi but didn't give us the password. (For Dhanmondi Branch),2,,146,Negative
"The food was the worst.though the service was quite good.we had the jamaican grill with rice.the rice was tasteless,grill was no good at all.",1,,141,Negative
Taste: 2/10 Price: too much expensive An overrated restaurant it is!,1,,68,Negative
Yesterday me with couple of my friends went there for ifter. The food was cold & may b pre cooked. The stuff's behavior was not friendly at all. We should have soft drinks with the packages but after giving the reminder of 3 times they didn't serve the drinks.,2,,260,Negative
The worst F&B service I have ever experienced today. They deliver me like freezing food and even after complain they repeatedly change and deliver the same freezing food for three times. Totally screwed up for Gulshan 2 outlet. :(,1,,230,Negative
Iftar platter was too bad. The whole food was served cold. Rice was hard like hell. very disappointed with this iftar platter.,1,,126,Negative
Iftari platters are disgusting. Just tried it yesterday at gulshan branch. Tasteless and we all wasted the foods.,1,,113,Negative
"Went here today to have Ramadan Meal One (Jamaican grilled chicken) with my family...The meal was absolutely cold and the Jamaican grilled chicken, Chicken shashlik was hard!!! It was not delicious and filling meal at all, rather it was uneatable!!! I went there several times, but didn’t have this sort of experience before. If I knew that I have to eat this shit, I would have ordered the regular menu. It is absolutely cheating.",1,,433,Negative
"The food was good. Pasta was poor. But, the no of staff are very less. Can't manage. Don't visit there on Friday. There was almost none to check your requirements. Poor very poor. You pay a lot but you don't get even 20% of the service. Needs lots of improvement in terms of customer service.",2,,292,Negative
"One should never order a pizza in this place. It was just below average standard. Home mades are far better than this. Code F 14: They attarct you by writing 20 pieces, but they don't tell you it's only a full chicken. Taka 1465 is not worthy of the plate at any standard of bd, may it be a chain shop. Code GC10: Jamaican chicken was good. Soup was good and had its signature mark with taste. Nice place but congested. ... Parking is a problem as usual. Security guards are eager for tips but has little idea of guiding a vehicle to park.",2,,539,Negative
I ordered kids meal for my baby.. and that chicken was smelling like a rotten egg... yaak!!.. and it was the second time that happened to me...they are so irresponsible... very unexpected...,1,,190,Negative
Food quality is disgusting. Price .. oh no need bank loan to order a full meal,1,,78,Negative
Your design works and campaigns are not communicative.. You should have professional people to handle these... Your FB page page don't represent an international brand sorry to say... And don't you use Olive oil any more!!,2,,222,Negative
"We tried four different pizza.all tasted almost same.no salt,no spice,thin crust.the chef should learn how to make pizza.the kiwi chiller just had syrup and sprite in it.not a single piece of kiwi was there.tastes was also not upto the mark. Overall sucks.not coming again.",2,,273,Negative
Worst service. The waiters are very ill mannered. Never gonna come back,2,,71,Negative
"Went to Gulshan Branch yesterday. I usually like their food but yesterday's service was the poorest! I didn't get 10% discount on SCB credit card though my bill was above TK. 3,000! Had to asked them couple of time to provide the promotional coupon. Very much disappointed!",2,,273,Negative
I had the pasta and I think something was wrong with the prawns. I had food poisoning afterwards and was sick. I also asked for butter to put on the bread but they didn't have it. The play area and balloons were nice,2,,216,Negative
Last time the foods test was too bad.i was the regular customer of bbq bt i feel slowly slowly the food test becoming low types...i m disappointed...,2,,149,Negative
It was buy one get one offer on pizza. Pizza was disaster. Worst pizza I have ever had .,2,,88,Negative
"went at dinner tonight at dhanmondi branch....food was good but I have question about the manners & etiquette of waiters. While I was waiting for my guest after reserving the seats, they asked me rudely as if my guest are coming or not they have other reservation (have to mention that only half an hour passed after I took the seats and half the reserved seats are filled already!!!). After challenging them why they didn't take my reservation earlier when I called, they started... to say they wanted the seats because some ppl just came and ask for seat (I don't see those reservation ppl coming at all that night)....in between the conservation, one waiter said they did 30k per day business as if I give a damn shit about it (30k per day!!! seriously!!! as a brand like yours.......com'on man so poor!!!). After ordering the starter and 1st round of order, they seemed surprised to ask us that 5 person and only 4 dishes!!! REALLY THIS IS THE WAY YOU BEHAVE WITH YOUR CUSTOMERS!!! If someone order food cost 200tk or 20000tk, both are your customers. You should give your staff proper lesson on manners then let them serve for your brand because its degrading the brand value.",1,,1181,Negative
"I don't understand why you don't inform your customers properly about your offers for them.it is really unexpected from a brand like you.you tell clearly the offer for pizza will be available on Saturday till further notice.but the truth is different.when we reach your dhanmondi branch after a long busy traffic,you say very easily the offer has ended without prior notice.this is how you serve your customer?don't know what is important to you?customer or profit?speechless... just now I saw some other reviews,I experienced you did the same with some other guests also.",1,,572,Negative
"Environment is nice, food and prices terrible. Burger seems like only hot bread.",1,,80,Negative
Bit overpriced compared to their taste.Also the interior of dhanmondi branch is nothing special.,1,,96,Negative
Not up to the mark service... Waiters insisting having certain items from the menu... Not quality food... n irrational price range!!! Disappointing......,2,,153,Negative
"Food was ok but they robbed me by including items in the bill which I have not ordered and did not receive; I went to the cashier and before paying I have told him that I have not ordered this but he says its been billed and he is ""feeling dukkhito"" for this. I had an argument with the manager and was expecting something complimentary but he was also ""feeling dukkhito"" and said will consider me with good service next time as if I am a beggar to beg them for money or anything. I told them you all stole money and that's wrong and I don't live abroad so it does not matter whatever you do next time. VERY DISAPPOINTED WITH THEM AND WILL NEVER COME BACK WHEN I AM IN BANGALDESH.",1,,680,Negative
Dhanmondi branch has the worst quality of food and the worst food quality of customer service. I have never been through such a horrible experience before. And that horrible experience incurred at a very high price. Will never visit again.,1,,239,Negative
Food was over priced and not up to the mark in taste! If you are going to charge that much the least you can do is to improve your cooking! The pasta was runny ?!?!???,1,,167,Negative
Not good at all....................................,1,,51,Negative
"I went to Bailey road branch. The pizza is so poor i felt it was just robbery. The cheese was very thin and the bread was thin too. The topping was also very low in quantity. It felt like , i am having a ruti with some vaji :p The behaviour was good though and that's why i am giving 2 star. Never going to try again unless the food quality improves.",2,,350,Negative
"Today we had the most awful experience at BbQ Dhanmondi branch. They have been offering the 50% discount on beverage and i liked their frappe everytime so went their tonight as it was the last night. And even though we had called at their number and verified that the store was open they denied to serve us the frappes! Not ony that, after providing us the menue the waiter was taking a while to come back. I found that the waiter and the manager was solving a dispute with ano...ther client. So called another younger waiter who was walking towards the table then the other waiter made him stop. He literally stoped him coming towards us and then he took another 5mins to solve the dispute.then this waiter and the manager had another chat, more like whispered in the years then they both came to tell they cannot serve the Frappe!!! They said they ran out of all ingredients! They literally didn't want to make the drinks as it was close to the closing time. They has an offer going on and it cannot be that they ran out of every single ingredients of all the drinks!! Even though we had said we didn't want anything else at all that being an International Chain they should be serving us they denied us completely!! I should also mention we went to the Dhanmondi branch just this friday night and the pizza was terrible too!!! It was nothing like the Gulshan branch pizza. Really really disappointed by this ignorant attitude and i doubt i will ever go back.",1,,1461,Negative
Soft drink 99+vat . :( It is too expensive. Others,1,,50,Negative
"Okay, here's an honest review. Went to the Dhanmondi Branch yesterday and the food was okay. It was nothing completely out of the ordinary and that would have been completely alright had the items not been priced premium. The service was absolutely horrible! I mean how are you guys still in business with the current lot of waiters? A waiter literally tried to force an item on us by repeatedly insisting in the rudest of manners and the most annoyed of expressions. We had to ca...ll the waiters multiple times before any of them responded, every time. No, they weren't busy, just standing at the nearest tissues counter (or something) doing absolutely nothing. It took them about 15 minutes to get the bill and another 15 to return the change. The music was too loud and they did not turn down the volume even after we requested them to. Please take note that we have not been rude to any of the servers even once through out the whole process. Now, considering the fact that the Dhanmondi branch is a relatively new outlet, the cutlery items used should still be in relatively good condition but they were not. Most of the spoons had so many scratch marks on them that it almost gave the feeling that we had been provided with used utensils from the older branches. Does not reflect the class BBQ BD claims to boast. Not a good experience overall. Not sure if I wanna go back there, not anytime soon at least. P.S.- Can provide pictures if necessary.",1,,1454,Negative
"Bbq Bangladesh Dhanmondi Branch is a big disappointment, Menu card's price of each item really differs with the price of the bill,I have tried your Gulshan branch for almost 6-7times and I loved it, no complains from there.. And 2times at your dhanmondi branch.. My experience was bad both the times there.dhanmondi branch serves completely different quality of food, it's too bad , the quantity of your pane cream soup was very low.. Taste of chicken was bad and served cold. The... second time I went there, the taste of the food was average and I clearly remember that I ordered food costing around 1500 -1600tk on the menu card( Korean Charboiled chicken 3pcs chicken, 1 piece jamaican chicken meal with mashed potatoes and 3 cocacolas). They charged me the double on their bill around 3000tk. I have calculated on my own and it would have been around 1800tk-2000tk with vat and service charge. This was a clear fraud.. This might also be an inside fraud between the manager and the waiters so the authority must take this into consideration.I am never going back to bbq bangladesh again. This was not only me who faced such a problem but also I know few more people disappointed with Bbq Bangladesh dhanmondi's bill problem.",1,,1229,Negative
Ate iftar platter. Grilled jamaican chicken was good. But fried rice was terrible. Smell of olive oil ruined the salad.,2,,119,Negative
"Ripping people off basically. Please kindly take business seriously if not passionately. The management is very poor and the description of their items is not true to its words. Iftar platter was terrible. So are the burgers, the meat was raw inside even though said to be grilled and their was no cheddar cheese given inside the Korean char boiled burger.",1,,356,Negative
"I had been there today for Iftar . The food was so cold,specially fried rice and salad was dry.Service person was not caring to the guest. very poor service. Management should concern about service.",1,,198,Negative
"আজ জীবনের সব থেকে বাজে ইফতারি করলাম �ইখানে, আহা কি স�বাদ আর টেস�ট , যা ভ�লতে কয়েক ঘন�টা কসরত করতে হইছে :( ১৭০০+ টাকা আজ প�রাই জ�বলে দিয়ে আসলাম । আপনার কারো সাথে শত�র�তা থাকলে �ই খানে পাঠায় দেন । না মেরেও শাস�তি দিতে পারবেন ।",1,,561,Negative
"Food Taste and price are not smiler...those foods making cost is so cheap but they are charging high volume of price. Nothing smiler with south koriean bbq, just Branch deco and bbq logo is same like as original brand. sorry but wasn't happy with the quality..",1,,260,Negative
We ordered 3 of the meals of the offer and the food was basically tasteless! Bet they forgot to put salt and a lot of other spices. Overly expensive compared to the quantity and the taste was bad as well. Never going back again!,2,,228,Negative
I am sorry but it was the worst food experience there. Surely i wont go there ever. Peace.,1,,90,Negative
"I ordered Golden Olive Value Meal but I cudnt find anything valuable! Whatever , this combo contains 1pc golden olive chicken ,fried cajun wedge potato, veg rice, egg n salad! At first , they forgot using salt probably :) 1) so far I know with my little knowledge, olive chicken is prepared using olive oil to fry the whole chicken n mixed up with some spices .I neither found any spice nor olive taste. 2) veg rice - hardly got vegetable, dried up rice , less quantity 3) egg ...: even an egg can taste this much worse , I didn't know , forgot using salt here also, as mentioned. 4) potato: the only thing I cud eat at least. Overall experience was worst, this dish costs 345 including Vat.I never hesitate spending if the quality and taste are satisfactory, but this place was irritating enough",1,,796,Negative
Ordered a chicken pizza that had no crust or dough .It was just a pancake.Terrible service.Not going back again. @Urmil Rehman.,1,,127,Negative
Q,1,,1,Negative
Food did not taste good at all. Inside Gangjeong Chicken there was no spice. The veg fried rice was below average in terms of taste and quantity. It was a bad experience though service was good and place is nice. Price is very very high considering taste.,1,,255,Negative
I wish I can give 0 starts...The combo pizza was worst >_<,1,,58,Negative
interior khassi na food khassi. pls give the picture of original food what u served to the customer.,1,,100,Negative
Terrible food ....place is congested....price is too high...just waste of money,1,,79,Negative
Worst food ever i had...... n dat jamaican chicken..... oh..... i dont know why people r going to hv it its just lyk normal chicken... i could not find any test.... n dat mashrom soup it such a yuukk .... ewwwuuu.... tested lyk sukna tosted burger er modhe dano r full cream yuukkk....,1,,285,Negative
Took 45 min to serve a kids meal. Their service is so bad,1,,57,Negative
"well, foods r not bad.....just thinking abt service makes me shudder! it could tarnish all the good development the stakeholders may have done...",1,,145,Negative
"Food was great, no doubt about that. But, the service was horrible. Need to improve the service in order to maintain the restaurants goodwill or else people will refrain from coming.",2,,182,Negative
"okay, I might be a bit late in my review but what the hell. I first went to bbq right after it opened and my friends and I ordered our individual dishes. One of my friends ordered your pasta and didnt even have a bite of it as she was too full, we told the waiters to parcel it but they told us they didnt have the equipment to do so, at that moment the rest of us we stuffed with food so couldnt even taste the pasta or take it home. At the end, we had to pay for the pasta not even eating a bite of it. It was a very disappointing experience of my point of view.",1,,564,Negative
"Good vibe bt average food.wont go dere again.after all,y go to a restaurant to eat if da foods not tasty.",1,,105,Negative
Came during rush hour and ordered for 5 people and the service was horrible at best. Got served with ice cold food and waited for it for at least 30 mins. Rubbish. And the managers were damn care about it. Lesson learnt never visit this place when you see lots of cars parked outside!,1,,284,Negative
"comparing to other restaurants,they provide poor service & let's not talk about the food quality because that was a total waste of money :) thank u",,FALSE,147,Negative
"Service is horrible, If you consider the food quality according to price it is very worst for choosing. As my suggestion don't come here to waste your time and money.",,FALSE,166,Negative
Good for only photo not for food at all. They sell pad thai noodles but in their menu it is written as mixed chawmin. It is not acceptable. At mohammadpur most of the resturent did not charge any vat but they charge vat. Service is tooo slow. Food taste is not up to the mark according to price. Not recommended at all. Set menu taste is so bad that we can't finish it.,1,,369,Negative
"The quantity is really low if you consider the price and other similar restaurants. Food quality isn't good either. The ac was off. Complained about the food quality, they didn't bother to explain or say sorry. Not recommended!",,FALSE,227,Negative
#Worst_experience_ever.. This place is not as well as their pictures.. Food quality is just horrible..I ordered #Spaghetti and they provided a dish of salty and disgusting things...I was vomiting after tasting that wretched dish.. And the smell was too bad.Just in a word it was worst.. After ordering chicken fry I observed it was also salty and not worthy for eating.. And their service was so poor..I asked one of them for changing the dish but they didn't.. One of them said 'আমি টেস�ট করে ডিস টা সার�ভ করেছি'। How lame!!! This place is not recommended at all....,1,,619,Negative
normal polar ice cream is much better,,FALSE,37,Negative
"মান �বং পরিমান অন�যায়ী দাম প�রায় ৩ গ�ন, তবে পরিবেশটা স�ন�দর, �টা র�ফটপ রেস�ট�রেন�ট বলতে দোতলা ভবনের ছাদ, তাই রাস�তার পাশের কোলাহল গাড়ির হর�ন ধ�লাবালিতে প�রচলিত র�ফটপ রেস�ট�রেন�টের ফ�লেভারটা পাওয়া যাবে না",,FALSE,521,Negative
Food quality is not good as their price.� Upgrade ur food quality first�,1,,76,Negative
It's the worst .. price is too high where amount is very less... And the taste is salt less...,1,,94,Negative
"food quality average Pricing Ava rage, Management was bulshit policy also, Environment wast too much warmth , No AC or Fan in outdoor .",1,,135,Negative
Worst behaviour. Worst management system. Bad experienced ever.,1,,63,Negative
1. Dirty toilet. 2. Delay service. 3. Ignorance customer care staff. 4. তিতা ফ�ড,1,,93,Negative
"environment tik kora dorkar , prochur gorom. fan o choto choto",1,,62,Negative
their place is so small & also food was not up to the mark...,1,,61,Negative
"Chicken burger totally faul... Service so lindy Pasta চলে ,� Dosa ok not so much good� Place 8/10",2,,107,Negative
Aaaro onnnk vlo hote Hobe........ Khabar khub ee baaje...... I don't like it...... Um sry......,2,,95,Negative
taste and quantity was not up to the mark.,,FALSE,42,Negative
Bbq burger offer ta video te dekhe gelam taco te parcel nite...bashai ashe dekhi the burger was tatseless even the quantity was not same as shown in the video.,,FALSE,159,Negative
Rhkklkjpjhlffoihipihpouuoiupojpljjkkllkkbjilpknklkllllllljkklllkjiookjvhkjhjjjkjjkhjjjjkkjkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkllklkkkkllllllkkkkkkjkkkkkkkkklkkkkkkkkkkkkkklkkkkkkkkkkllllklllll,1,,191,Negative
totally disgraceful when your expectation was high :(,,FALSE,53,Negative
