Review Text,Review,Recommends,Review Length,Review Type
"Friendly staff, good food and homely environment 💜💜💜",,TRUE,61,Positive
Well...The Food was Good___Intrerior design is nice... Environment was soo quite Fakafaka😜 Background music was too good... I gives you 9/10😊,,TRUE,147,Positive
"The man who is foodie like me for him arabian master is a nice place. Environment and food quality is too good. Specially their staffs’ behaviour are so nice. Good environment, quality food and and suitable price with these arabian master is awesome in a word.",5,,262,Positive
"This place is too much comfortable & food is delicious.. Every Item Is testy & pizza or set menu is Best... & most important Thing is Their behavior is friendly..It is very good place..environment is good enough.. behavior of all the staff is good and prices are reasonable.. Over all I liked their service system, Their behavior, Their place Everything..",4,,355,Positive
#5star great and very welcoming atmosphere.. pizza was greatest best...,,TRUE,71,Positive
"I check it out like a second home of mine...feel frequent and relaxed....well manner, frankly attitude and of course fresh food have been delivered.. go ahead with a lot of warm wishes and undoubtedly with good food ..",3,,218,Positive
Arabian Masters interior decoration is unique.Its food is tasty & a little bit spicy..Their staffs are very friendly..😊,,TRUE,122,Positive
"you guys are awesome & I just love your ""offer pizza"" #tasty #Reasonableprice",5,,77,Positive
Well behave Food was testy,,TRUE,26,Positive
"Went there after referred by a friend. Tried their ""Cheese cream pasta"" and it was totally worth it. They have a variety of set meals and pizzas. NB: To all those who already owe a treat to their friends, trust me this is the best option you have!",5,,247,Positive
Arabian's food so yummy 😊😊😊and my niece also like to eat Arabian's food��😋😋,,TRUE,94,Positive
akankar khabare man onnoto. valo testi o mojader. are service better. amader sobaike mogdho kore dilo,,TRUE,101,Positive
Everything is great..Perfect for all types of event. Only the negative issue is bad smell in ground floor and not much clean.,3,,125,Positive
"Last two times we went their with some best buddy....I think its really a good place for different type of party's and hangouts with cutie and lovely friends with delicious foods...Pizza is the best in this restaurant...And,their servable is too good...!! (Little bit problem their decoration system) But,above all its good..�",4,,328,Positive
They served tasty and good quality food �,5,,43,Positive
It is really a good place. Just awesome. Their behaviour is also good.Best hospitality. Food is also best.Every food really testy and reasonable price.This place is best for couples friends and family. Their interior design is looking so much beautiful..... Iloved everything,5,,275,Positive
It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,5,,185,Positive
most comfortable place ever for meh... specially their behavr is so frndlyy�,5,,78,Positive
"Combination of a great place to hang out with friends ,mouth watering food specially the pizza. �",4,,99,Positive
So nice place had a great time loved it��� So yummy pizza and pasta i like it so much��� Pizza price is so reasonable............,5,,141,Positive
All the best Arabian Master��� I liked it.just carry on�����,5,,76,Positive
Food was Assum Burger too good Arabian master will be the Master of all shop in old Town inshAllah,5,,98,Positive
visit there frequently. almost like regular customer �. food quality is good and environment is also good. tested their pizza and set menu. totally trustworthy.... �,5,,169,Positive
environment is better than any other restaurant in lalbagh. service is goood. bcz they give unlimited change evry time. you can try...,5,,134,Positive
Nice and friendly environment.. Good food.. Set menus are best in my opinion. Keep it up.,5,,89,Positive
Went there today for the first time unexpectedly. But the food was so yumm i didn't expected that and their service was way to fast than the others � i liked it :),5,,165,Positive
The food of Arabian Master is good and testy. You should try. Go there enjoy their testy testy food. I like it��� Even Foods cost is reasonable....,4,,153,Positive
"their food quality and service is very good � i just love their food �� specially their cream pasta (10/10) �, chawmin (10/10) �",5,,138,Positive
Everyone enjoyed lots of fun and chat with friends and birthday parties. Thanks to all of the Arabian master.,5,,109,Positive
"We tested the BBQ pizza 4 season, cheese Supreme Pizza teste r too gud very yummy.... Well service... Happy us",4,,110,Positive
atmosphere is really good....food is average.....service is lil slow but they behave well....song selection is also good....,3,,124,Positive
Pizza was nice i like it. My friends also like it.,5,,50,Positive
Today I am going to there celebrating my frnd birth day totally amazing�� Food are really good so gyus pls going there and enjoy your day.....,5,,146,Positive
need to improve the standard of food. The quality is not up to the mark compared to the money taken,3,,99,Positive
Best place for family hangout. And food quality + quantity - 10/10 Thanks for everything Arabian Master.,5,,104,Positive
"So yummy Pizza with reasonable price,also with discount & various offers.... Loved it �",5,,89,Positive
Great food. Specially the BBQ Chicken. Everyone should visit and taste.,5,,71,Positive
Food & their service is good. Food quality could be better.,4,,59,Positive
Bbq pizza is Love �� I visited many times there environment is also good,5,,74,Positive
"test is good, service is also fast. decoration should be upgrade at all.",4,,72,Positive
I like the food but their service is not good ............,4,,58,Positive
Simply the pizza was....cheeseeeeee.....wanna taste it again for sure...,5,,72,Positive
Great place... There behaviour is too good... Keep going...,5,,59,Positive
nice place to hangout...service was good......... :),5,,52,Positive
"Great food, Specially the BBQ (Lollipop) Chicken, Everyone should visit and taste.",5,,82,Positive
Amazing food and great hospitality .Really impressed �,5,,56,Positive
awesome.............................................,5,,52,Positive
"yyyaaammee food, good survice. thanx 2 woner of Arabian Master�����",5,,77,Positive
Foods r just awesome !! If u don't try it then you gonna miss it..,5,,66,Positive
My 1st home delivery frm dm nyc n fast... n de pizza was mouthwatering yummm....,5,,80,Positive
Awesome lunch..... And special thanks Tarek bhai..�,4,,53,Positive
food quality was decent,3,,23,Positive
Fantastic food !,5,,16,Positive
Valo,5,,4,Positive
Kisu bolar nai 100/100 Khowar test onek vlo Love it....,5,,55,Positive
Jedzonko dobre,4,,14,Positive
It's food quality is very good and so delicious...,5,,50,Positive
"All says Arabian master is mah 2nd Bari Ghar.... M loved thr food... N abt service?? All thr staff r lyk mah younger brother,,, #badol_Vai iz mah too much closer brother... n #Tareq_Vai (owner) unake nye r kichu ble lojja dbo naah... Jst thnq thnq brother foh open such an amazing side.... � �",5,,297,Positive
Pizza and other food was excellent and service are great.,4,,57,Positive
Love their service...it was great!! Had great experience...will be visiting soon.. :) :),4,,88,Positive
BBQ pizza is so much tasty But the service is too much late They need to improve their service quality,4,,102,Positive
Very nice............... I love it,5,,34,Positive
had a great experience there. will be visiting again soon :),4,,60,Positive
